Function,Notes,ner,ne0,ne1,np0,ne2,np1,cjo,cjm,ceo,cem,cpo,cpod1,cpod2,cpm,cpmd,cjc,iqs,iqt
DebugArena_Init,,,,,,,,,,,,,,,,800D3E84,,,
func_800636C0,,,,,,,,,,,,,,,80051730,800636C0,,,
IrqMgr_Init,,,,,,,,,,,,,,,800ACD38,800D3990,,,
Sched_Init,,,,,,,,,,,,,,,800A312C,800C9874,,,
IrqMgr_AddClient,,,,,,,,,,,,,,,800AC7E0,800D3220,,,
AudioMgr_Init,,,,,,,,,,,,,,,800A01C0,800C3FEC,,,
PadMgr_Init,,,,,,,,,,,,,,,800A2474,800C819C,,,
AudioMgr_Unlock,,,,,,,,,,,,,,,800A0194,800C3FC4,,,
Graph_ThreadEntry,,,,,,,,,,,,,,,800A13FC,800C6844,,,
PreNmiBuff_SetReset,,,,,,,,,,,,,,,800670B8,8007BED4,,,
func_800FBFD8,,,,,,,,,,,,,,,800CD208,800FBFD8,,,
MemCopy,,,,,,,,,,,,,,,80056BE0,80069420,,,
Animation_OnFrameImpl,,,,,,,,,,,,,,,8008C2A4,800A4478,,,
Minimap_DrawCompassIcons,,,,,,,,,,,,,,,8006C0EC,80081240,,,
Gameplay_InCsMode,,,,,,,,,,,,,,,8009C894,800BFC84,,,
Audio_PlaySoundGeneral,,,,,,,,,,,,,,,800C8B1C,800F738C,,,
Graph_InitTHGA,,,,,,,,,,,,,,,800A0BC0,800C5B14,,,
Graph_GetNextGameState,,,,,,,,,,,,,,,800A0CD8,800C5C2C,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
cleararena,,,,,,,,,,,,,,,80000460,80000460,,,
ViConfig_UpdateVi,,,,,,,,,,,,,,,80000830,80000A10,,,
DmaMgr_Init,,,,,,,,,,,,,,,80000ED8,8000183C,,,
DmaMgr_SendRequest1,,,,,,,,,,,,,,,80000E5C,80001AA0,,,
Locale_Init,,,,,,,,,,,,,,,80001300,80001E60,,,
isPrintfInit,,,,,,,,,,,,,,,,80002080,,,
osDriveRomInit,,,80001600,,,,,,,,,,,,80001420,800023D0,,,
StackCheck_Init,,,,,,,,,,,,,,,800016B0,80002660,,,
__osInitialize_common,,,,,,,,,,,,,,,80001E1C,8000345C,,,
__osInitialize_autodetect,,,,,,,,,,,,,,,800020C8,80003708,,,
bzero,,,,,,,,,,,,,,,80002E10,80004450,,,
osCreateThread,,,,,,,,,,,,,,,80002F10,80004550,,,
osStopThread,,,80001F70,,,,,,,,,,,,,800031B0,,,
osCreatePiManager,,,,,,,,,,,,,,,80003140,80004780,,,
osViBlack,,,80003BE0,,,,,,,,,,,,80003820,80004E60,,,
osViSetMode,,,,,,,,,,,,,,,800039A0,80004FE0,,,
osGetMemSize,,,,,,,,,,,,,,,80003AC0,80005100,,,
osSetThreadPi,,,,,,,,,,,,,,,80004070,80006430,,,
osViSwapBuffer,,,,,,,,,,,,,,,800042D0,80006690,,,
osGetTime,,,,,,,,,,,,,,,80004620,800069E0,,,
osCartRomInit,,,,,,,,,,,,,,,80005550,80007910,,,
osCreateViManager,,,,,,,,,,,,,,,80005940,80008CA0,,,
osStartThread,,,,,,,,,,,,,,,80005C60,80008FC0,,,
Mio0_Decompress,,,800017E0,,,,,,,,,,,,,800025B0,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
n64dd_SetDiskVersion,,801C7CB0,801C7F90,801C8110,801C5F64,801C8808,801C5FA4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
__osDisableInt,,,80005130,,,,800052E0,,,,,,,,80004EC0,80007280,,,
__osRestoreInt,,,800051A0,,,,80005350,,,,,,,,80004F30,800072f0,,,
Sleep_Cycles,,,80001BC0,,,,,,,,,,,,,800FF3A0,,,
Sleep_Nsec,,,80001C2C,,,,,,,,,,,,,800FF40C,,,
Sleep_Usec,,,80001C7C,,,,,,,,,,,,,800FF45C,,,
Sleep_Msec,,,80001CCC,,,,,,,,,,,,,800FF4AC,,,
Sleep_Sec,,,80001D20,,,,,,,,,,,,,800FF500,,,
__ull_rshift,,,80002170,,,,,,,,,,,,,80003710,,,
__ull_rem,,,8000219C,,,,,,,,,,,,,8000373C,,,
__ull_div,,,800021D8,,,,,,,,,,,,,80003778,,,
__ll_lshift,,,80002214,,,,,,,,,,,,,800037B4,,,
__ll_rem,,,80002240,,,,,,,,,,,,,800037E0,,,
__ll_div,,,8000227C,,,,,,,,,,,,,8000381C,,,
__ll_mul,,,800022D8,,,,,,,,,,,,,80003878,,,
__ull_divremi,,,80002308,,,,,,,,,,,,,800038A8,,,
__ll_mod,,,80002368,,,,,,,,,,,,,80003908,,,
__ll_rshift,,,80002404,,,,,,,,,,,,,800039A4,,,
__osExceptionPreamble,,,80002430,,,,,,,,,,,,,800039D0,,,
__osException,,,80002440,,,,,,,,,,,,,800039E0,,,
__osEnqueueThread,,,80002B4C,,,,,,,,,,,,,80004114,,,
__osPopThread,,,80002B94,,,,,,,,,,,,,8000415C,,,
__osNop,,,,,,,,,,,,,,,,8000416C,,,
osWritebackDCache,,,80003440,,,,,,,,,,,,,800046C0,,,
osViGetNextFramebuffer,,,800034C0,,,,,,,,,,,,,80004740,,,
osVirtualToPhysical,,,80003B60,,,,,,,,,,,,,80004DE0,,,
osSetIntMask,,,80003CC0,,,,,,,,,,,,,80004F40,,,
osViSetMode,,,80003D60,,,,,,,,,,,,,80004FE0,,,
osEPiStartDma,,,800040C0,,,,,,,,,,,,,80006010,,,
osInvalDCache,,,80004250,,,,,,,,,,,,,80006200,,,
__osPiCreateAccessQueue,,,80001D60,,,,,,,,,,,,,80002FA0,,,
__osPiGetAccess,,,80001DB0,,,,,,,,,,,,,80002FF0,,,
__osPiRelAccess,,,80001DF4,,,,,,,,,,,,,80003034,,,
__osEPiRawStartDma,,,800046E0,,,,,,,,,,,,,800066E0,,,
__osSetCompare,,,80004DB0,,,,,,,,,,,,,80006F00,,,
bcopy,,,80004DC0,,,,,,,,,,,,,80006F10,,,
__osViSwapContext,,,80005300,,,,,,,,,,,,,80007430,,,
osEPiReadIo,,,80005630,,,,,,,,,,,,,80007760,,,
osEPiWriteIo,,,80005800,,,,,,,,,,,,,80007A90,,,
__osSetHWIntrRoutine,,,80006010,,,,,,,,,,,,,80009270,,,
osStartThread,,,80005EC0,,,,,,,,,,,,,80008FC0,,,
